sample,latency_cycles
1,1454
2,1448
3,1455
4,1452
5,1451
6,1452
7,1453
8,1450
9,1457
10,1456
11,1449
12,1450
13,1453
14,1448
15,1449
16,1450
17,1457
18,1454
19,1457
20,1458
21,1457
22,1454
23,1565
24,1456
25,1449
26,1456
27,1455
28,1458
29,1455
30,1448
31,1457
32,1448
33,1451
34,1448
35,1447
36,1500
37,1453
38,1450
39,1453
40,1450
41,1447
42,1454
43,1449
44,1454
45,1449
46,1452
47,1451
48,1448
49,1457
50,1448
51,1455
52,1450
53,1457
54,1456
55,1449
56,1448
57,1453
58,1454
59,1451
60,1446
61,1451
62,1456
63,1447
64,1450
65,1455
66,1456
67,1457
68,1454
69,1455
70,1454
71,1453
72,1448
73,1449
74,1458
75,1451
76,1448
77,1449
78,1452
79,1457
80,1456
81,1453
82,1454
83,1455
84,1450
85,1449
86,1456
87,1449
88,1450
89,1455
90,1448
91,1455
92,1454
93,1449
94,1454
95,1451
96,1452
97,1453
98,1452
99,1453
100,1456
101,1455
102,1456
103,1453
104,1448
105,1451
106,1454
107,1453
108,1452
109,1453
110,1450
111,1457
112,1450
113,1451
114,1446
115,1455
116,1446
117,1449
118,1456
119,1451
120,1454
121,1455
122,1448
123,1451
124,1454
125,1451
126,1454
127,1451
128,2494
129,1447
130,1456
131,1451
132,1452
133,1453
134,1452
135,1455
136,1452
137,1457
138,1456
139,1457
140,1450
141,1449
142,1454
143,1447
144,1454
145,1453
146,1450
147,1457
148,1446
149,1447
150,1452
151,1451
152,1448
153,1451
154,1456
155,1449
156,1448
157,1453
158,1456
159,1455
160,1450
161,1449
162,1448
163,1451
164,1452
165,1455
166,1454
167,1451
168,1452
169,1453
170,1448
171,1455
172,1450
173,1447
174,1454
175,1455
176,1448
177,1453
178,1450
179,1451
180,1452
181,1457
182,1450
183,1451
184,1448
185,1453
186,1456
187,1453
188,1448
189,1455
190,1450
191,1451
192,1456
193,1457
194,1456
195,1449
196,1450
197,1455
198,1452
199,1457
200,1450
201,1451
202,2280
203,1451
204,1454
205,1453
206,1446
207,1457
208,1456
209,1457
210,1454
211,1457
212,1452
213,1455
214,1456
215,1451
216,1450
217,1457
218,1452
219,1451
220,1450
221,1455
222,1454
223,1447
224,1448
225,1453
226,1452
227,1457
228,1452
229,1451
230,1454
231,1449
232,1458
233,1453
234,1448
235,1451
236,1448
237,1455
238,1450
239,1455
240,1446
241,1451
242,1450
243,1453
244,1450
245,1457
246,1450
247,1455
248,1448
249,1449
250,1456
251,1447
252,1448
253,1449
254,1458
255,1455
256,1454
257,1457
258,1456
259,1455
260,1450
261,1457
262,1456
263,1455
264,1456
265,1453
266,1448
267,1453
268,1456
269,1455
270,1450
271,1453
272,1452
273,1457
274,1458
275,1449
276,1454
277,1451
278,1454
279,1457
280,1450
281,1453
282,1450
283,1453
284,1456
285,1449
286,1458
287,1449
288,1458
289,1455
290,1448
291,1453
292,1454
293,1451
294,1450
295,1451
296,1452
297,1455
298,1452
299,1457
300,1448
301,1453
302,1450
303,1455
304,1450
305,1455
306,1454
307,1451
308,1458
309,1453
310,1446
311,1453
312,1448
313,1455
314,1448
315,1449
316,1456
317,1449
318,1448
319,1449
320,1452
321,1453
322,1450
323,1453
324,1452
325,1453
326,1454
327,1455
328,1454
329,1457
330,1456
