sample,latency_cycles
1,2421
2,2355
3,2420
4,2357
5,2418
6,2351
7,2416
8,2357
9,2414
10,2351
11,2420
12,2347
13,2418
14,2349
15,2420
16,2347
17,2420
18,2345
19,2418
20,2347
21,2412
22,2353
23,2420
24,2349
25,2414
26,2349
27,2414
28,2357
29,2412
30,2353
31,2412
32,2355
33,2422
34,2355
35,2418
36,2401
37,2410
38,2351
39,2418
40,2345
41,2416
42,2355
43,2414
44,2347
45,2414
46,2353
47,2420
48,2353
49,2414
50,2345
51,2414
52,2351
53,2416
54,2353
55,2422
56,2355
57,2416
58,2353
59,2418
60,2353
61,2422
62,2355
63,2412
64,2353
65,2416
66,2357
67,2422
68,2355
69,2416
70,2347
71,2412
72,2351
73,2414
74,2355
75,2418
76,2347
77,2412
78,2355
79,2418
80,2349
81,2416
82,2349
83,2412
84,2351
85,2418
86,2353
87,2412
88,2359
89,2412
90,2349
91,2414
92,2355
93,2420
94,2349
95,2416
96,2353
97,2420
98,2353
99,2412
100,2353
101,2420
102,2347
103,2414
104,2355
105,2422
106,2357
107,2352
108,2353
109,2352
110,2347
111,2348
112,2349
113,2354
114,2347
115,2346
116,2355
117,2356
118,2353
119,2354
120,2351
121,2348
122,2353
123,2350
124,2357
125,2352
126,2349
127,2352
128,2419
129,2354
130,2417
131,2352
132,2417
133,2354
134,2413
135,2350
136,2413
137,2352
138,2417
139,2352
140,2417
141,2348
142,2415
143,2354
144,2421
145,2356
146,2421
147,2356
148,2419
149,2348
150,2423
151,2346
152,2415
153,2348
154,2419
155,2350
156,2415
157,2358
158,2421
159,2352
160,2411
161,2348
162,2417
163,2348
164,2419
165,2352
166,2419
167,2348
168,2413
169,2350
170,2417
171,2352
172,2417
173,2350
174,2411
175,2354
176,2413
177,2346
178,2417
179,2352
180,2415
181,2352
182,2421
183,2356
184,2417
185,2346
186,2419
187,2348
188,2413
189,2356
190,2423
191,2350
192,2417
193,2354
194,2417
195,2348
196,2417
197,2352
198,2421
199,2356
200,2411
201,2352
202,2417
203,3378
204,2423
205,2358
206,2415
207,2352
208,2417
209,2358
210,2423
211,2346
212,2419
213,2346
214,2413
215,2348
216,2417
217,2352
218,2421
219,2354
220,2413
221,2352
222,2417
223,2354
224,2421
225,2354
226,2421
227,2352
228,2419
229,2358
230,2413
231,2354
232,2415
233,2354
234,2415
235,2354
236,2411
237,2356
238,2419
239,2356
240,2921
241,2352
242,2419
243,2350
244,2419
245,2348
246,2419
247,2352
248,2349
249,2350
250,2353
251,2352
252,2347
253,2352
254,2357
255,2350
256,2349
257,2348
258,2355
259,2354
260,2353
261,2356
262,2351
263,2348
264,2349
265,2352
266,2353
267,2354
268,2355
269,2350
270,2355
271,2418
272,2349
273,2412
274,2355
275,2414
276,2347
277,2416
278,2349
279,2422
280,2353
281,2418
282,2355
283,2412
284,2353
285,2414
286,2355
287,2420
288,2353
289,2422
290,2355
291,2412
292,2349
293,2420
294,2355
295,2416
296,2351
297,2426
298,2353
299,2422
300,2353
301,2422
302,2353
303,2418
304,2347
305,2416
306,2349
307,2418
308,3441
309,2422
310,2349
311,2410
312,2351
313,2418
314,2347
315,2418
316,2349
317,2422
318,2351
319,2418
320,2347
321,2416
322,2355
323,2418
324,2351
325,2416
326,2347
327,2422
328,2353
329,2420
330,2353
331,2418
332,2347
333,2420
334,2353
335,2414
336,2351
337,2418
338,2353
339,2418
340,2353
341,2414
342,2351
343,2414
344,2353
345,2414
346,2347
347,2420
348,2349
349,2422
350,2355
351,2416
352,2351
353,2414
354,2357
355,2420
356,2355
357,2418
358,2347
359,2418
360,2351
361,2422
362,2359
363,2414
364,2355
365,2416
366,2351
367,2418
368,2357
369,2422
370,2351
371,2418
372,2351
373,2414
374,2353
375,2418
376,2347
377,2414
378,2353
379,2420
380,2355
381,2414
382,2355
383,2420
384,2355
385,2596
386,2357
387,2412
388,2349
389,2418
390,2357
391,2350
392,2347
393,2352
394,2357
395,2354
396,2349
397,2358
398,2359
399,2348
400,2353
401,2352
402,2353
403,2354
404,2357
405,2348
406,2355
407,2354
408,2355
409,2354
410,2351
411,2356
412,2357
413,2350
414,2415
415,2350
416,2419
417,2348
418,2423
419,2348
420,2413
421,2350
422,2421
423,2726
424,2421
425,2350
426,2419
427,2358
428,2417
429,2352
430,2419
431,2356
432,2417
433,2350
434,2419
435,2354
436,2415
437,2352
438,2421
439,2356
440,2415
441,2352
442,2421
443,2350
444,2417
445,2352
446,2411
447,2354
448,2413
449,2352
450,2417
451,2356
452,2417
453,2350
454,2421
455,2350
456,2415
457,2352
458,2415
459,2350
460,2423
461,2356
462,2415
463,2354
464,2419
465,2352
466,2413
467,2352
468,2423
469,2352
470,2417
471,2354
472,2421
473,2354
474,2413
475,2354
476,2417
477,2356
478,2415
479,2356
480,2419
481,2352
482,2421
483,2352
484,2417
485,2356
486,2419
487,2350
488,2415
489,2354
490,2421
491,2348
492,2413
493,2348
494,2421
495,2352
496,2421
497,2352
498,2415
499,2348
500,2421
501,2350
502,2415
503,2354
504,2421
505,2352
506,2417
507,2354
508,2417
509,2352
510,2421
511,2350
512,3247
513,2358
514,2417
515,2350
516,2421
517,2350
518,2415
519,2350
520,2423
521,2354
522,2423
523,2350
524,2415
525,2348
526,2417
527,2354
528,2419
529,2354
530,2419
531,2354
532,2419
533,2348
534,2351
535,2348
536,2355
537,2354
538,2351
539,2360
540,2355
541,2348
542,2349
543,2348
544,2351
545,2352
546,2357
547,2354
548,2359
549,2346
550,2351
551,2350
552,2357
553,2356
554,2357
555,2350
556,2353
557,2420
558,2347
559,2420
560,2357
561,2418
562,2349
563,2420
564,2357
565,2418
566,2351
567,2420
568,2359
569,2418
570,2349
571,2416
572,2355
573,2420
574,2353
575,2416
576,2359
577,2420
578,2351
579,2422
580,2353
581,2412
582,2349
583,2418
584,2353
585,2414
586,2355
587,2422
588,2347
589,2414
590,2353
591,2414
592,2353
593,2416
594,2349
595,2416
596,2353
597,2416
598,2357
599,2412
600,2349
601,2420
602,2351
603,2420
604,2355
605,2416
606,2351
607,2420
608,2349
609,2414
610,2353
611,2414
612,2359
613,2414
614,2353
615,2422
616,2355
617,2422
618,2355
619,2422
620,2351
621,2418
622,2353
623,2418
624,2353
625,2418
626,2355
